 	2q	Intensity
1	-3.570	95.695
2	-3.506	89.150
3	-3.442	79.911
4	-3.378	68.413
5	-3.314	58.885
6	-3.250	46.585
7	-3.186	29.117
8	-3.122	11.193
9	-3.059	3.880
10	-2.995	1.937
11	-2.931	1.779
12	-2.867	1.876
13	-2.803	2.006
14	-2.739	1.620
15	-2.675	1.871
16	-2.611	1.809
17	-2.547	1.865
18	-2.483	1.827
19	-2.419	1.634
20	-2.355	1.757
21	-2.291	1.877
22	-2.228	1.817
23	-2.164	1.601
24	-2.100	1.770
25	-2.036	1.682
26	-1.972	1.744
27	-1.908	1.578
28	-1.844	1.843
29	-1.780	1.937
30	-1.716	1.717
31	-1.652	1.710
32	-1.588	1.586
33	-1.524	1.713
34	-1.460	1.511
35	-1.396	1.693
36	-1.333	1.778
37	-1.269	1.812
38	-1.205	1.743
39	-1.141	1.751
40	-1.077	1.770
41	-1.013	1.739
42	-0.949	1.601
43	-0.885	1.629
44	-0.821	1.821
45	-0.757	1.947
46	-0.693	1.347
47	-0.629	1.576
48	-0.565	1.666
49	-0.502	1.660
50	-0.438	1.644
51	-0.374	1.547
52	-0.310	1.391
53	-0.246	1.183
54	-0.182	1.628
55	-0.118	2.506
56	-0.054	2.464
57	0.010	1.868
58	0.074	10.885
59	0.138	150.656
60	0.202	281.943
61	0.266	77.137
62	0.330	8.683
63	0.393	2.753
64	0.457	1.822
65	0.521	1.332
66	0.585	1.658
67	0.649	1.696
68	0.713	2.004
69	0.777	1.740
70	0.841	1.701
71	0.905	1.712
72	0.969	1.752
73	1.033	1.818
74	1.097	1.991
75	1.161	1.852
76	1.224	1.725
77	1.288	1.553
78	1.352	1.730
79	1.416	1.787
80	1.480	1.819
81	1.544	1.722
82	1.608	1.799
83	1.672	1.591
84	1.736	1.805
85	1.800	1.967
86	1.864	1.598
87	1.928	1.837
88	1.992	1.688
89	2.055	1.763
90	2.119	1.913
91	2.183	1.928
92	2.247	1.736
93	2.311	1.859
94	2.375	1.702
95	2.439	1.806
96	2.503	2.087
97	2.567	2.874
98	2.631	6.589
99	2.695	16.881
100	2.759	42.613
101	2.823	64.662
102	2.887	81.489
103	2.950	94.664
104	3.014	106.094
105	3.078	117.090
106	3.142	127.141
107	3.206	136.711
108	3.270	145.222
109	3.334	154.012
110	3.398	163.770
111	3.462	172.036
112	3.526	179.459
113	3.590	186.840
114	3.654	195.494
115	3.718	201.591
116	3.781	208.918
117	3.845	217.820
118	3.909	225.240
119	3.973	234.487
120	4.037	239.816
121	4.101	245.299
122	4.165	248.131
123	4.229	252.481
124	4.293	257.756
125	4.357	261.025
126	4.421	261.607
127	4.485	264.704
128	4.549	268.421
129	4.613	270.166
130	4.676	270.824
131	4.740	273.069
132	4.804	277.847
133	4.868	280.006
134	4.932	284.290
135	4.996	286.712
136	5.060	288.188
137	5.124	291.803
138	5.188	296.636
139	5.252	299.300
140	5.316	302.367
141	5.380	303.520
142	5.444	304.616
143	5.507	306.357
144	5.571	308.366
145	5.635	311.540
146	5.699	313.220
147	5.763	314.604
148	5.827	315.578
149	5.891	316.642
150	5.955	316.557
151	6.019	316.868
152	6.083	320.751
153	6.147	321.842
154	6.211	322.146
155	6.275	323.208
156	6.339	324.432
157	6.402	325.863
158	6.466	326.377
159	6.530	327.349
160	6.594	329.613
161	6.658	329.376
162	6.722	329.857
163	6.786	331.606
164	6.850	332.783
165	6.914	334.608
166	6.978	334.431
167	7.042	333.909
168	7.106	334.219
169	7.170	335.568
170	7.233	335.854
171	7.297	335.685
172	7.361	335.166
173	7.425	336.315
174	7.489	338.498
175	7.553	340.521
176	7.617	342.922
177	7.681	345.234
178	7.745	348.062
179	7.809	349.031
180	7.873	350.577
181	7.937	351.233
182	8.001	350.127
183	8.065	349.488
184	8.128	350.473
185	8.192	349.932
186	8.256	350.063
187	8.320	350.109
188	8.384	350.631
189	8.448	350.536
190	8.512	349.924
191	8.576	347.608
192	8.640	346.166
193	8.704	347.544
194	8.768	345.705
195	8.832	346.493
196	8.896	345.993
197	8.959	345.510
198	9.023	344.282
199	9.087	343.567
200	9.151	343.896
201	9.215	343.784
202	9.279	342.370
203	9.343	340.010
204	9.407	339.745
205	9.471	338.686
206	9.535	338.324
207	9.599	338.069
208	9.663	336.929
209	9.727	336.453
210	9.790	334.459
211	9.854	334.452
212	9.918	332.472
213	9.982	331.412
214	10.046	331.756
215	10.110	332.076
216	10.174	330.944
217	10.238	330.196
218	10.302	329.774
219	10.366	328.443
220	10.430	327.078
221	10.494	325.854
222	10.558	325.946
223	10.622	324.556
224	10.685	323.489
225	10.749	324.159
226	10.813	324.451
227	10.877	322.835
228	10.941	321.658
229	11.005	320.204
230	11.069	319.752
231	11.133	318.889
232	11.197	319.329
233	11.261	318.760
234	11.325	317.946
235	11.389	317.917
236	11.453	318.060
237	11.516	317.874
238	11.580	316.335
239	11.644	315.447
240	11.708	314.860
241	11.772	314.376
242	11.836	314.799
243	11.900	313.734
244	11.964	313.398
245	12.028	313.950
246	12.092	314.326
247	12.156	314.187
248	12.220	312.622
249	12.284	312.459
250	12.348	312.440
251	12.411	311.232
252	12.475	310.349
253	12.539	309.105
254	12.603	308.126
255	12.667	308.233
256	12.731	307.075
257	12.795	306.942
258	12.859	306.712
259	12.923	305.912
260	12.987	305.765
261	13.051	305.832
262	13.115	303.537
263	13.179	303.121
264	13.242	304.317
265	13.306	303.627
266	13.370	301.206
267	13.434	300.472
268	13.498	299.830
269	13.562	301.481
270	13.626	299.654
271	13.690	299.986
272	13.754	297.784
273	13.818	296.061
274	13.882	294.901
275	13.946	295.454
276	14.010	295.297
277	14.074	293.823
278	14.137	293.914
279	14.201	293.876
280	14.265	292.849
281	14.329	290.750
282	14.393	289.041
283	14.457	289.953
284	14.521	289.637
285	14.585	289.235
286	14.649	287.405
287	14.713	287.433
288	14.777	287.935
289	14.841	287.664
290	14.905	286.566
291	14.968	283.714
292	15.032	284.255
293	15.096	284.384
294	15.160	283.079
295	15.224	282.345
296	15.288	281.920
297	15.352	280.059
298	15.416	279.481
299	15.480	279.433
300	15.544	280.071
301	15.608	279.487
302	15.672	278.508
303	15.736	277.205
304	15.800	276.394
305	15.863	275.941
306	15.927	276.860
307	15.991	275.464
308	16.055	276.227
309	16.119	274.420
310	16.183	274.261
311	16.247	273.155
312	16.311	271.397
313	16.375	270.588
314	16.439	269.402
315	16.503	268.039
316	16.567	267.641
317	16.631	266.432
318	16.694	264.645
319	16.758	263.480
320	16.822	263.283
321	16.886	262.153
322	16.950	260.429
323	17.014	259.736
324	17.078	258.479
325	17.142	257.251
326	17.206	256.650
327	17.270	258.047
328	17.334	257.028
329	17.398	254.672
330	17.462	252.536
331	17.525	250.376
332	17.589	249.262
333	17.653	248.464
334	17.717	247.362
335	17.781	246.703
336	17.845	245.175
337	17.909	243.402
338	17.973	243.128
339	18.037	243.072
340	18.101	242.223
341	18.165	239.691
342	18.229	237.470
343	18.293	236.514
344	18.357	236.543
345	18.420	236.392
346	18.484	234.878
347	18.548	231.958
348	18.612	231.509
349	18.676	231.720
350	18.740	229.867
351	18.804	228.761
352	18.868	227.375
353	18.932	227.522
354	18.996	226.072
355	19.060	224.244
356	19.124	223.315
357	19.188	223.229
358	19.251	221.839
359	19.315	222.474
360	19.379	221.236
361	19.443	219.635
362	19.507	218.022
363	19.571	217.672
364	19.635	216.295
365	19.699	217.358
366	19.763	218.075
367	19.827	220.518
368	19.891	216.022
369	19.955	215.269
370	20.019	215.980
371	20.083	215.803
372	20.146	215.067
373	20.210	215.550
374	20.274	214.646
375	20.338	213.347
376	20.402	211.828
377	20.466	210.612
378	20.530	211.617
379	20.594	211.724
380	20.658	211.927
381	20.722	211.590
382	20.786	210.810
383	20.850	209.182
384	20.914	209.647
385	20.977	210.617
386	21.041	211.144
387	21.105	211.937
388	21.169	212.645
389	21.233	212.420
390	21.297	213.867
391	21.361	216.787
392	21.425	219.317
393	21.489	221.258
394	21.553	223.768
395	21.617	228.131
396	21.681	233.949
397	21.745	240.657
398	21.809	250.392
399	21.872	265.695
400	21.936	288.395
401	22.000	324.786
402	22.064	386.322
403	22.128	509.119
404	22.192	823.748
405	22.256	2049.503
406	22.320	6498.609
407	22.384	10637.264
408	22.448	8656.895
409	22.512	3937.931
410	22.576	1388.811
411	22.640	662.026
412	22.703	439.431
413	22.767	343.640
414	22.831	294.205
415	22.895	265.266
416	22.959	245.974
417	23.023	231.699
418	23.087	221.989
419	23.151	214.986
420	23.215	209.420
421	23.279	205.758
422	23.343	202.728
423	23.407	199.487
424	23.471	196.147
425	23.535	193.219
426	23.598	190.208
427	23.662	189.248
428	23.726	188.509
429	23.790	187.572
430	23.854	187.705
431	23.918	186.992
432	23.982	185.891
433	24.046	185.413
434	24.110	184.821
435	24.174	183.772
436	24.238	182.842
437	24.302	181.683
438	24.366	182.520
439	24.429	181.474
440	24.493	180.457
441	24.557	179.706
442	24.621	178.851
443	24.685	178.998
444	24.749	179.262
445	24.813	178.735
446	24.877	178.217
447	24.941	177.853
448	25.005	177.597
449	25.069	178.878
450	25.133	180.786
451	25.197	182.581
452	25.260	184.840
453	25.324	188.047
454	25.388	193.038
455	25.452	200.991
456	25.516	214.816
457	25.580	241.182
458	25.644	302.635
459	25.708	511.430
460	25.772	1366.315
461	25.836	2713.655
462	25.900	2946.785
463	25.964	1676.813
464	26.028	655.382
465	26.092	333.016
466	26.155	246.459
467	26.219	212.190
468	26.283	195.130
469	26.347	184.955
470	26.411	179.131
471	26.475	175.361
472	26.539	172.514
473	26.603	168.533
474	26.667	166.833
475	26.731	165.247
476	26.795	163.480
477	26.859	163.010
478	26.923	162.876
479	26.986	161.312
480	27.050	160.104
481	27.114	160.348
482	27.178	159.762
483	27.242	158.739
484	27.306	158.325
485	27.370	159.227
486	27.434	157.964
487	27.498	157.511
488	27.562	157.642
489	27.626	156.704
490	27.690	155.167
491	27.754	154.920
492	27.818	155.652
493	27.881	155.573
494	27.945	155.843
495	28.009	156.522
496	28.073	157.407
497	28.137	157.752
498	28.201	156.467
499	28.265	154.657
500	28.329	153.640
501	28.393	153.425
502	28.457	153.564
503	28.521	153.588
504	28.585	152.940
505	28.649	152.006
506	28.712	151.178
507	28.776	150.769
508	28.840	149.596
509	28.904	148.428
510	28.968	148.318
511	29.032	147.688
512	29.096	147.724
513	29.160	148.679
514	29.224	149.254
515	29.288	148.936
516	29.352	147.577
517	29.416	146.954
518	29.480	146.843
519	29.544	146.350
520	29.607	145.700
521	29.671	145.105
522	29.735	144.853
523	29.799	145.021
524	29.863	145.103
525	29.927	144.318
526	29.991	143.849
527	30.055	143.137
528	30.119	141.734
529	30.183	141.635
530	30.247	142.089
531	30.311	141.893
532	30.375	141.563
533	30.438	141.525
534	30.502	141.397
535	30.566	140.860
536	30.630	140.587
537	30.694	140.944
538	30.758	141.323
539	30.822	141.094
540	30.886	140.727
541	30.950	140.206
542	31.014	140.145
543	31.078	140.551
544	31.142	140.227
545	31.206	139.722
546	31.270	139.745
547	31.333	139.896
548	31.397	140.461
549	31.461	140.513
550	31.525	140.343
551	31.589	140.507
552	31.653	140.534
553	31.717	140.782
554	31.781	140.040
555	31.845	140.186
556	31.909	140.418
557	31.973	140.827
558	32.037	140.842
559	32.101	140.871
560	32.164	140.591
561	32.228	140.147
562	32.292	139.303
563	32.356	138.963
564	32.420	138.670
565	32.484	138.196
566	32.548	138.400
567	32.612	137.962
568	32.676	137.118
569	32.740	136.579
570	32.804	136.120
571	32.868	135.511
572	32.932	135.576
573	32.995	135.640
574	33.059	135.052
575	33.123	134.814
576	33.187	135.323
577	33.251	135.229
578	33.315	134.103
579	33.379	133.539
580	33.443	133.778
581	33.507	133.864
582	33.571	133.446
583	33.635	132.578
584	33.699	131.853
585	33.763	131.846
586	33.827	131.799
587	33.890	131.453
588	33.954	131.719
589	34.018	131.815
590	34.082	131.558
591	34.146	131.225
592	34.210	131.307
593	34.274	131.639
594	34.338	131.812
595	34.402	131.644
596	34.466	130.875
597	34.530	130.283
598	34.594	130.503
599	34.658	130.672
600	34.721	130.829
601	34.785	130.831
602	34.849	130.709
603	34.913	131.162
604	34.977	131.295
605	35.041	131.126
606	35.105	131.075
607	35.169	131.779
608	35.233	132.316
609	35.297	132.207
610	35.361	132.199
611	35.425	133.556
612	35.489	134.597
613	35.553	135.662
614	35.616	136.627
615	35.680	137.076
616	35.744	137.246
617	35.808	138.593
618	35.872	141.103
619	35.936	144.721
620	36.000	148.604
621	36.064	151.312
622	36.128	155.147
623	36.192	159.199
624	36.256	163.993
625	36.320	171.416
626	36.384	182.535
627	36.447	199.211
628	36.511	226.586
629	36.575	269.560
630	36.639	360.432
631	36.703	612.775
632	36.767	1562.269
633	36.831	4103.873
634	36.895	5921.956
635	36.959	3903.788
636	37.023	1459.632
637	37.087	604.647
638	37.151	352.608
639	37.215	258.041
640	37.279	212.675
641	37.342	187.026
642	37.406	170.049
643	37.470	159.595
644	37.534	152.961
645	37.598	148.665
646	37.662	144.063
647	37.726	139.150
648	37.790	136.960
649	37.854	135.658
650	37.918	133.426
651	37.982	131.052
652	38.046	129.848
653	38.110	128.828
654	38.173	127.965
655	38.237	127.956
656	38.301	127.207
657	38.365	126.192
658	38.429	125.695
659	38.493	124.975
660	38.557	124.302
661	38.621	124.166
662	38.685	123.904
663	38.749	123.077
664	38.813	122.488
665	38.877	122.409
666	38.941	122.191
667	39.005	122.024
668	39.068	122.100
669	39.132	121.963
670	39.196	121.926
671	39.260	121.342
672	39.324	120.776
673	39.388	120.536
674	39.452	120.556
675	39.516	120.943
676	39.580	121.131
677	39.644	120.754
678	39.708	120.504
679	39.772	120.924
680	39.836	120.776
681	39.899	121.280
682	39.963	122.213
683	40.027	122.579
684	40.091	121.844
685	40.155	121.224
686	40.219	120.497
687	40.283	119.977
688	40.347	119.877
689	40.411	119.629
690	40.475	118.775
691	40.539	118.834
692	40.603	119.019
693	40.667	118.675
694	40.730	117.798
695	40.794	117.493
696	40.858	117.249
697	40.922	117.247
698	40.986	117.343
699	41.050	117.453
700	41.114	116.888
701	41.178	116.383
702	41.242	116.593
703	41.306	116.754
704	41.370	117.011
705	41.434	116.652
706	41.498	116.371
707	41.562	116.563
708	41.625	116.842
709	41.689	116.957
710	41.753	116.672
711	41.817	116.694
712	41.881	117.330
713	41.945	117.766
714	42.009	117.548
715	42.073	117.238
716	42.137	117.520
717	42.201	117.859
