 	2q	Intensity
1	-3.570	95.679
2	-3.506	89.139
3	-3.442	79.901
4	-3.378	68.399
5	-3.314	58.868
6	-3.250	46.562
7	-3.186	29.092
8	-3.122	11.160
9	-3.058	3.871
10	-2.994	1.934
11	-2.931	1.779
12	-2.867	1.877
13	-2.803	2.005
14	-2.739	1.618
15	-2.675	1.872
16	-2.611	1.808
17	-2.547	1.865
18	-2.483	1.826
19	-2.419	1.633
20	-2.355	1.757
21	-2.291	1.878
22	-2.227	1.816
23	-2.163	1.602
24	-2.099	1.769
25	-2.035	1.682
26	-1.971	1.747
27	-1.907	1.582
28	-1.844	1.843
29	-1.780	1.942
30	-1.716	1.716
31	-1.652	1.707
32	-1.588	1.585
33	-1.524	1.713
34	-1.460	1.510
35	-1.396	1.696
36	-1.332	1.777
37	-1.268	1.811
38	-1.204	1.744
39	-1.140	1.751
40	-1.076	1.772
41	-1.012	1.738
42	-0.948	1.597
43	-0.884	1.628
44	-0.820	1.822
45	-0.756	1.939
46	-0.693	1.344
47	-0.629	1.582
48	-0.565	1.668
49	-0.501	1.660
50	-0.437	1.647
51	-0.373	1.550
52	-0.309	1.388
53	-0.245	1.176
54	-0.181	1.642
55	-0.117	2.521
56	-0.053	2.450
57	0.011	1.776
58	0.075	11.075
59	0.139	153.042
60	0.203	284.667
61	0.267	74.591
62	0.331	7.882
63	0.394	2.592
64	0.458	1.803
65	0.522	1.329
66	0.586	1.658
67	0.650	1.700
68	0.714	2.005
69	0.778	1.732
70	0.842	1.699
71	0.906	1.712
72	0.970	1.759
73	1.034	1.814
74	1.098	1.996
75	1.162	1.851
76	1.226	1.719
77	1.290	1.551
78	1.354	1.730
79	1.418	1.786
80	1.481	1.824
81	1.545	1.721
82	1.609	1.805
83	1.673	1.589
84	1.737	1.818
85	1.801	1.961
86	1.865	1.590
87	1.929	1.835
88	1.993	1.684
89	2.057	1.776
90	2.121	1.912
91	2.185	1.917
92	2.249	1.728
93	2.313	1.857
94	2.377	1.696
95	2.441	1.809
96	2.505	2.097
97	2.569	2.897
98	2.632	6.693
99	2.696	17.180
100	2.760	42.289
101	2.824	65.265
102	2.888	81.964
103	2.952	95.056
104	3.016	106.441
105	3.080	117.398
106	3.144	127.479
107	3.208	136.987
108	3.272	145.434
109	3.336	154.248
110	3.400	164.055
111	3.464	172.277
112	3.528	179.663
113	3.592	187.091
114	3.656	195.743
115	3.719	201.811
116	3.783	209.088
117	3.847	218.107
118	3.911	225.474
119	3.975	234.733
120	4.039	240.016
121	4.103	245.460
122	4.167	248.289
123	4.231	252.707
124	4.295	258.005
125	4.359	261.248
126	4.423	261.634
127	4.487	264.832
128	4.551	268.536
129	4.615	270.344
130	4.679	270.890
131	4.743	273.270
132	4.806	277.887
133	4.870	280.161
134	4.934	284.439
135	4.998	286.659
136	5.062	288.259
137	5.126	290.045
138	5.190	296.866
139	5.254	299.449
140	5.318	302.485
141	5.382	303.595
142	5.446	304.630
143	5.510	306.492
144	5.574	308.505
145	5.638	311.714
146	5.702	313.359
147	5.766	314.703
148	5.830	315.705
149	5.894	316.708
150	5.957	316.630
151	6.021	316.935
152	6.085	320.921
153	6.149	321.918
154	6.213	322.228
155	6.277	323.317
156	6.341	324.560
157	6.405	325.955
158	6.469	326.472
159	6.533	327.446
160	6.597	329.797
161	6.661	329.460
162	6.725	329.923
163	6.789	331.706
164	6.853	332.882
165	6.917	334.755
166	6.981	334.507
167	7.044	333.911
168	7.108	334.263
169	7.172	335.667
170	7.236	335.940
171	7.300	335.760
172	7.364	335.188
173	7.428	336.408
174	7.492	338.570
175	7.556	340.600
176	7.620	342.986
177	7.684	345.305
178	7.748	348.132
179	7.812	348.999
180	7.876	350.676
181	7.940	351.199
182	8.004	350.076
183	8.068	349.453
184	8.131	350.483
185	8.195	349.876
186	8.259	350.038
187	8.323	350.160
188	8.387	350.582
189	8.451	350.587
190	8.515	349.871
191	8.579	347.484
192	8.643	346.134
193	8.707	347.600
194	8.771	345.589
195	8.835	346.558
196	8.899	345.932
197	8.963	345.476
198	9.027	344.235
199	9.091	343.516
200	9.155	343.907
201	9.219	343.794
202	9.282	342.276
203	9.346	339.883
204	9.410	339.741
205	9.474	338.634
206	9.538	338.298
207	9.602	338.050
208	9.666	336.870
209	9.730	336.398
210	9.794	334.357
211	9.858	334.471
212	9.922	332.364
213	9.986	331.330
214	10.050	331.808
215	10.114	332.067
216	10.178	330.884
217	10.242	330.183
218	10.306	329.731
219	10.369	328.366
220	10.433	326.990
221	10.497	325.799
222	10.561	325.935
223	10.625	324.474
224	10.689	323.418
225	10.753	324.220
226	10.817	324.455
227	10.881	322.729
228	10.945	321.592
229	11.009	320.125
230	11.073	319.734
231	11.137	318.824
232	11.201	319.375
233	11.265	318.703
234	11.329	317.908
235	11.393	317.913
236	11.456	318.086
237	11.520	317.842
238	11.584	316.245
239	11.648	315.389
240	11.712	314.814
241	11.776	314.373
242	11.840	314.819
243	11.904	313.662
244	11.968	313.377
245	12.032	313.996
246	12.096	314.333
247	12.160	314.187
248	12.224	312.508
249	12.288	312.470
250	12.352	312.441
251	12.416	311.147
252	12.480	310.293
253	12.544	309.015
254	12.607	308.080
255	12.671	308.229
256	12.735	307.000
257	12.799	306.940
258	12.863	306.707
259	12.927	305.842
260	12.991	305.759
261	13.055	305.828
262	13.119	303.390
263	13.183	303.099
264	13.247	304.401
265	13.311	303.570
266	13.375	301.037
267	13.439	300.446
268	13.503	299.773
269	13.567	301.604
270	13.631	299.505
271	13.694	300.026
272	13.758	297.613
273	13.822	295.953
274	13.886	294.823
275	13.950	295.486
276	14.014	295.288
277	14.078	293.713
278	14.142	293.941
279	14.206	293.868
280	14.270	292.763
281	14.334	290.595
282	14.398	288.926
283	14.462	290.044
284	14.526	289.604
285	14.590	289.203
286	14.654	287.249
287	14.718	287.474
288	14.781	287.957
289	14.845	287.644
290	14.909	286.474
291	14.973	283.503
